,,,,,,,,,,,,,,,,,,,
420,6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1 Brand,Model,Type,FL,Diam.,AFOV,Wt.,Eye Relief,Mfr's Field Stop ,Calc.FieldStop,Coatings,Edge black,Elem.,Mag.,Exit Pupil,TFOV,other currency, Price ,420,6.00
Artesky,Planetary SW,Planetary,9,1.25,60,,16.0,?,9.4,FC,?,5,47,1.5,1.29,, $ 84.00 ,420,6.00
Artesky,Super ED,General Use,3.2,1.25,60,,15.8,?,3.4,FMC,Y,5,131,0.5,0.46,, $ 96.00 ,420,6.00
Artesky,Super ED,General Use,5,1.25,60,,13.0,?,5.2,FMC,Y,5,84,0.8,0.71,, $ 96.00 ,420,6.00
Artesky,Super ED,General Use,8,1.25,60,,13.0,?,8.4,FMC,Y,5,53,1.3,1.14,, $ 96.00 ,420,6.00
Artesky,Super ED,General Use,12,1.25,60,,13.0,12.0,12.6,FMC,Y,6,35,2.0,1.64,, $ 96.00 ,420,6.00
Artesky,Super ED,General Use,15,1.25,60,,15.0,15.0,15.7,FMC,Y,6,28,2.5,2.05,, $ 96.00 ,420,6.00
Artesky,Super ED,General Use,18,1.25,60,,13.0,18.0,18.8,FMC,Y,5,23,3.0,2.46,, $ 96.00 ,420,6.00
Artesky,Super ED,General Use,25,1.25,60,,15.0,?,26.2,FMC,Y,5,17,4.2,3.57,, $ 96.00 ,420,6.00
Artesky,SWA,Wide-Field,10,1.25,70,,10.0,12.4,12.2,FMC,Y,5,42,1.7,1.69,, $ 84.00 ,420,6.00
Artesky,SWA,Wide-Field,15,1.25,70,,13.0,18.8,18.3,FMC,Y,5,28,2.5,2.56,, $ 84.00 ,420,6.00
Artesky,SWA,Wide-Field,20,1.25,70,,16.0,25.0,24.4,FMC,Y,5,21,3.3,3.41,, $ 84.00 ,420,6.00
Astro Professional,Long Eye Relief,LER,18,1.25,55,,20,?,17.3,FMC,Y,5,23,3.0,2.36,66.39, $ 76.35 ,420,6.00
Astro Tech,Hi-Grade Plossl,Plossl,4,1.25,55,,2.8,?,3.8,FMC,Y,4,105,0.7,0.52,, $ 29.95 ,420,6.00
Astro Tech,Hi-Grade Plossl,Plossl,6,1.25,55,,4.2,?,5.8,FMC,Y,4,70,1.0,0.79,, $ 29.95 ,420,6.00
Astro Tech,Paradigm Dual ED,General Use,3.2,1.25,60,,13.0,?,3.4,FMC,Y,5,131,0.5,0.46,, $ 60.00 ,420,6.00
Astro Tech,Paradigm Dual ED,General Use,5,1.25,60,,13.0,?,5.2,FMC,Y,5,84,0.8,0.71,, $ 60.00 ,420,6.00
Astro Tech,Paradigm Dual ED,General Use,8,1.25,60,,13.0,?,8.4,FMC,Y,5,53,1.3,1.14,, $ 60.00 ,420,6.00
Astro Tech,Paradigm Dual ED,General Use,12,1.25,60,,13.0,12.0,12.6,FMC,Y,6,35,2.0,1.64,, $ 60.00 ,420,6.00
Astro Tech,Paradigm Dual ED,General Use,15,1.25,60,,15.0,15.0,15.7,FMC,Y,6,28,2.5,2.05,, $ 60.00 ,420,6.00
Astro Tech,Paradigm Dual ED,General Use,18,1.25,60,,13.0,18.0,18.8,FMC,Y,5,23,3.0,2.46,, $ 60.00 ,420,6.00
Astro Tech,Paradigm Dual ED,General Use,25,1.25,60,,15.0,?,26.2,FMC,Y,5,17,4.2,3.57,, $ 60.00 ,420,6.00
Astro Tech,Value Line Plossl,Plossl,4,1.25,52,,2.8,?,3.6,FMC,Y,4,105,0.7,0.50,, $ 22.95 ,420,6.00
Astro Tech,Value Line Plossl,Plossl,6,1.25,52,,4.2,?,5.4,FMC,Y,4,70,1.0,0.74,, $ 22.95 ,420,6.00
